,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,168.5,168.95,166.65,167.19,3035266,MA,166.41583983754717
1248,2018-01-24,167.94,168.1,165.95,167.01,3912415,MA,168.27376048351954
1249,2018-01-25,168.01,168.93,167.13,168.59,2088934,MA,167.76111869920527
1250,2018-01-26,169.01,170.36,168.79,170.34,2191639,MA,167.93504541113816
1251,2018-01-29,170.12,170.81,168.29,168.55,3082788,MA,168.80470665075472
1252,2018-01-30,167.41,168.0,166.3,167.19,4227133,MA,169.92043682037576
1253,2018-01-31,167.51,169.67,167.02,169.0,5815258,MA,167.64535000443252
1254,2018-02-01,172.51,176.715,171.0,172.93,6848449,MA,167.54072552797484
1255,2018-02-02,171.9,177.11,170.42,170.55,6556476,MA,171.93884074607
1256,2018-02-05,167.37,171.96,164.01,164.59,7195970,MA,171.82021052236982
1257,2018-02-06,160.5,169.36,156.8,169.28,7259895,MA,167.98698324661243
1258,2018-02-07,169.0,172.61,167.45,168.73,4364793,MA,160.994391264824
