,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,31.86,32.13,31.785,31.92,56531378,BAC,31.66962743815248
1248,2018-01-24,32.01,32.21,31.82,32.09,81585015,BAC,31.894849084801493
1249,2018-01-25,32.24,32.25,31.93,32.09,62265824,BAC,31.986290466610964
1250,2018-01-26,32.11,32.2,31.95,32.2,52699881,BAC,32.234205613662965
1251,2018-01-29,32.25,32.45,32.18,32.28,59126457,BAC,32.102152507016015
1252,2018-01-30,31.95,32.2,31.85,31.88,60555757,BAC,32.25712468082655
1253,2018-01-31,32.05,32.29,31.95,32.0,65734118,BAC,31.922030859258296
1254,2018-02-01,32.0,32.5,31.96,32.5,62367448,BAC,32.0638314612347
1255,2018-02-02,32.44,32.67,31.86,31.95,96971924,BAC,31.977079134781608
1256,2018-02-05,31.12,31.98,29.15,30.26,155908256,BAC,32.451155842750346
1257,2018-02-06,29.41,31.29,29.3,31.2,165878399,BAC,31.124952909462557
1258,2018-02-07,31.12,31.74,30.86,31.25,101180515,BAC,29.464727464776534
